1,TPJF,"现在农商行系统对接有一个大问题是农商行没有提供期供查询接口，我们无法查询到每一期的明细数据（本金、利息、逾期利息等等），目前的解决方案是我们按照农商行规则自己计算期供明细数据，目前根据初步测试的结果基本上都能跟银行保持一致。
但是问题是，谁也无法保证我们计算出来的跟银行核心系统的期供明细数据一致，特别是目前我们跟农商行约定的利率是根据贷款金额浮动的，在一定的放款量之前是1个利率，之后又是另外1个利率。
所以在利率变化的那个时间点，我们算出来的期供明细数据跟银行核心的期供明细数据就会不一样。因此麻烦帮忙问一下，利率调整是如何调整的？是自动调整还是人工调整？如果是人工调整，我觉得双方还是可以保持一致的。","这个我们在进行还款的时候会同步告知太平金服这边这次还款的本金利息罚息等信息，所以双方应该都是一致的
这个是太平金服这边和银行这边提前协商好的结果，比如太平这边目前放款已达到10亿，银行这边说第二天可以执行新的利率，这里面是会提前向太平这边不同新的利率点以及执行时间的"
2,TPJF,还款通知接口返回的rpyDate是什么时间,"业务时间/核心时间(内部的数据库时间),文档中写的是银行贷款系统的实际还款日"
3,TPJF,还款成功后继续还款会怎么样,"不允许这种操作,会返回code 01失败 , 00是成功,99是处理中"
4,TPJF,贷款合同编号有什么用,你们不需要使用的话可以忽略
5,TPJF,有个问题要请教一下，如果当期有31天，在这期的第30天提前结清，和第31天提前结清，两种情况的还款金额是不是一样？,提前结清是按实际天数算息  到期还款是按期算息（一期30天）
6,TPJF," 第31天还收31天利息,是吧？",第31天应该是到期日吧 那就是一整期 30天算
7,TPJF,第31天应该是到期日吧 那就是一整期 30天算,你举的这个例子是的 
8,TPJF,还有复息吗？还款返回只有个罚息金额，是两者加一起的金额？,没有复息
9,TPJF, 破期的是什么意思？除了第一期，其他期不会出现破期的情况吧？是不是大于28号的借款，第一期就会出现破期,第一期\放款日和还款日不是对日 就会出现首期破期\破期的按实际天数 
10,TPJF,就是授信通知失败了，我可以重新换个流水号再重试么,"授信通知失败了，从征信重新发起请求,流水号需要更换;测试时  删数据 ,生产时   授信失败,代表这个用户是有问题的,不会给他放款"
11,TPJF,"关于还款通知 返回 01 - 失败后  要更换流水号的事宜
00 和 99 是不用换的","关于流水号那个,    成功和失败是两个终态,  如果使用相同的流水号,返回的结果是相同的,
如果是状态码是99 , 使用相同的流水号,就可以得到 01 或00 ;   
此时再用该流水号,会得到最终的终态.
如果 是00-成功 或 99-处理中 是不用换的,
 但是已经明确返回失败了,   我们这边的开发说是要换个流水号,"
12,TPJF,"同一个用户,将授信额度?,分成多笔提现，需不需每次成功后,才能提现下一笔?","不需要,但即使在处理中,额度也会冻结,需要前端自己控制,比如按钮置灰等设置"
13,TPJF,"测试环境清数据后多久能重新授信?
生产环境呢?","测试环境清除后就能马上授信;
生产环境不存在清用户数据."
14,TPJF,不能重复授信,重复授信返回接收失败
15,TPJF,提现请求老是返回repeat request ,征信查询的流水号不能与提现请求的流水号相同
16,TPJF,影像批量文件上传中的《个人征信授权书》与《三方数据查询授权书》两个文件的上传是在“征信结果查询接口”成功后上传还是在“授信结果查询”成功后上传?,"太平金服文档中写的""返回征信评分后""暂定的是 50001调用后就可以上传了
但是按照实际的逻辑授权情况,应该在授权后才可以发起查询请求…
(最好找合作方人员确认一下)"
17,TPJF,《保单合同》、《个人征信授权书》、《三方数据查询授权书》这三个上传成功后才能去发起提现,是
18,TPJF,小金额提现被ilog拒绝,"提现金额不能太低,低于下限会被拒"
19,TPJF,助贷放款报错‘原交易失败’,上农支付用的人行仿真，传入的账号和户名必须是维护过的才可以
20,TPJF,如果一个用户授信失败了，用户下次下单还要再发起授信吗？还是我们这边直接拒绝掉,分两种情况，如果是你们这边拒绝的，重新发起授信就可以了，如果是我们这边拒绝的，那就说明这个用户可能在黑名单上，直接拒绝了
21,TPJF,征信查询返回查询失败和授信结果查询返回失败两种情况，是不是用户再次下单都直接拒绝,失败与拒绝的含义:
22,TPJF,合同文件上传路径这个HH，按什么时间,签订的时间
23,TPJF,重新授信的规则相关,"有几种方案,A.授信额度有有效期,有效期过的能重新授信B.一次性,授信一次后就不能再授信了C.合作方指定还款后才能重新授信,但还款期是三年,如果提前还款并进行重新授信,要修改一下规则
需要双方的产品对齐规则"
24,TPJF, 返回的合同是你们在我们上传的基础上盖章，还是你们签了一个新合同返给我们,签了一个新合同返给你们
25,TPJF,每个借据只有一次宽限期怎么理解 ,宽限期的使用我们这边是参数配置的  你们的产品参数配置是不限制次数。即只要借据没有逾期 就可一直使用宽限期  
26,TPJF,"征信未传身份证号,也会写入数据库","但库中没有身份证号,形成脏数据,无法往下进行流程"
27,,农商行借款合同该怎么处理呢？目前是借款合同都是农商行生成PDF再传给我们，那么用户在提款之前不需要确认农商行的借款合同吗？我觉得，用户在提款之前需要把借款合同展示给用户确认吧，否则形式上说不通吧。如果需要展示给用户进行确认，农商行得把借款合同发给我们，由我们给用户进行展示。,"金科:借款合同你们也需要和客户签 ,我们签的只是太平和上农之间定价的借款合同 
上农:上农全额出资，和客户签借款合同的，签之前有按钮要能展示的,其中的利率是和太平约定的固定价格,客户的其他成本一般是在担保合同里把剩下的收完，担保公司和客户签.
"
